cdm_id,ingredient
42921307,#REF!
42934962,#REF!
21118365,#REF!
2031825,#REF!
1703653,#REF!
35783418,#REF!
1703661,#REF!
35783410,#REF!
42920662,#REF!
785649,#REF!
2027253,#REF!
19006207,#REF!
19006208,#REF!
19006206,#REF!
705103,#REF!
1359551,#REF!
2060290,#REF!
1359548,#REF!
42953257,#REF!
42953256,#REF!
1101922,#REF!
42953240,#REF!
1101898,#REF!
42953239,#REF!
1101923,#REF!
19003851,#REF!
1308216,#REF!
42935379,#REF!
42935373,#REF!
1592085,#REF!
40164930,#REF!
40164898,#REF!
42943062,#REF!
1503297,#REF!
42942975,#REF!
42943166,#REF!
42943012,#REF!
42942973,#REF!
40164923,#REF!
42953763,#REF!
40164892,#REF!
42942977,#REF!
42953918,#REF!
45775861,#REF!
42953705,#REF!
42961491,#REF!
42953823,#REF!
42961488,#REF!
42942982,#REF!
42968754,#REF!
40166003,#REF!
40231403,#REF!
42942984,#REF!
40231395,#REF!
42943005,#REF!
40165998,#REF!
42943067,#REF!
42942980,#REF!
42942970,#REF!
42963147,#REF!
2057411,#REF!
2057410,#REF!
2057685,#REF!
42961320,#REF!
42961323,#REF!
42961495,#REF!
42963149,#REF!
45775863,#REF!
42961174,#REF!
42961171,#REF!
42960760,#REF!
42961326,#REF!
42963153,#REF!
1154192,#REF!
1154161,#REF!
42964404,#REF!
42964374,#REF!
2070121,#REF!
1154193,#REF!
1154196,#REF!
42964241,#REF!
42964085,#REF!
2070334,#REF!
42964109,#REF!
19102732,#REF!
1716903,#REF!
42921219,#REF!
1716904,#REF!
42918875,#REF!
2031787,#REF!
42944487,#REF!
2025244,#REF!
2031784,#REF!
42965811,#REF!
1115008,#REF!
42967955,#REF!
42935148,#REF!
42935145,#REF!
1318853,#REF!
42935143,#REF!
2064019,#REF!
2064014,#REF!
19016821,#REF!
19047064,#REF!
19016799,#REF!
44098838,#REF!
44060182,#REF!
785788,#REF!
21082226,#REF!
42963128,#REF!
45892552,#REF!
42945767,#REF!
42945673,#REF!
923645,#REF!
2037962,#REF!
42963128,#REF!
45892554,#REF!
42953204,#REF!
42953213,#REF!
722158,#REF!
722031,#REF!
42953193,#REF!
42953203,#REF!
42972320,#REF!
42972318,#REF!
19028050,#REF!
42956846,#REF!
2031964,#REF!
42922491,#REF!
734275,#REF!
42973730,#REF!
